ABB_NAME,Offence Count,Rate
 Manningham,"4,123",3510.70
 Mansfield,349,4310.20
 Maroondah,"6,564",6053.50
 Mitchell,"2,391",6571.60
 Moira,"1,458",5084.60
 Monash,"8,162",4526.60
 Murrindindi,599,4451.50
 South Gippsland,"1,085",3885.30
 Strathbogie,423,4341.10
 Towong,283,4764.30
 Wangaratta,"2,207",8043.60
 Wellington,"3,146",7411.90
 Whitehorse,"6,292",3940.80
 Wodonga,"3,096",8422.70
 Yarra Ranges,"6,346",4234.50
Total,"86,100",5473.10
 Bayside,"4,346",4481.80
 Cardinia,"4,666",5801.90
 Casey,"14,392",5345.40
 Frankston,"12,328",9325.70
 Glen Eira,"5,680",4082.90
 Greater Dandenong,"14,383",9911.40
 Kingston,"8,986",5973.30
 Mornington Peninsula,"9,039",5958.50
 Port Phillip,"11,306",11318.10
 Stonnington,"8,738",8616.50
Total,"93,864",6869.00
 Ararat,"1,105",9693.00
 Ballarat,"9,790",10121.20
 Buloke,297,4616.10
 Campaspe,"2,513",6784.40
 Central Goldfields,863,6787.80
 Colac-Otway,"1,420",6793.60
 Corangamite,803,4875.50
 Gannawarra,481,4581.80
 Glenelg,"1,290",6506.90
 Golden Plains,436,2224.00
 Greater Bendigo,"6,760",6505.90
 Greater Geelong,"15,128",6903.00
 Hepburn,691,4661.00
